author_id,tweet_id,relationship_type
1713688629510627328,1847916415728160954,POSTED
1682341026713972739,1847909567952208224,POSTED
1415331262600994823,1847697082443776157,RETWEETED
1664772825511788544,1847847059690226139,POSTED
538145697,1847697082443776157,RETWEETED
1737884895131877376,1847697082443776157,RETWEETED
1276970438351114240,1847282197390406041,RETWEETED
163138147,1847697082443776157,RETWEETED
405259565,1847803984381432111,POSTED
405259565,1847802254126178450,POSTED
405259565,1847801905508225448,POSTED
405259565,1847800926310191225,POSTED
405259565,1847800614878908471,POSTED
405259565,1847800138640879763,POSTED
405259565,1847799346366206125,POSTED
405259565,1847798807813378401,POSTED
1788848961270484992,1847785912245375127,POSTED
405259565,1847765975158182153,POSTED
1518745363552870400,1847756256326668469,POSTED
1169999154,1847711305030930769,POSTED
1207984126198009856,1847707501237506242,POSTED
2981618948,1847702580060999704,POSTED
55894459,1847700994160795673,POSTED
63732937,1847699404960018882,POSTED
1598938062737637378,1847697082443776157,POSTED
711783222280101888,1847695276531659170,POSTED
231688968,1847694666126278898,POSTED
158396052,1847693969867567425,POSTED
928270697754853377,1847686785910132759,POSTED
1579980692913618944,1847677973316370466,POSTED
166273075,1847676584670720130,POSTED
366387043,1847666141927223801,POSTED
1679321824625295360,1847650640430010375,POSTED
1657396984733368320,1847643553612075341,POSTED
941448395805413376,1847625331990999462,POSTED
